inventory_id,store_id,product_id,quantity_on_hand,quantity_reserved,snapshot_date
1,1,1,120,10,2024-03-31
2,1,2,80,5,2024-03-31
3,1,3,60,4,2024-03-31
4,1,4,45,3,2024-03-31
5,1,5,200,20,2024-03-31
6,2,1,90,8,2024-03-31
7,2,2,70,6,2024-03-31
8,2,3,50,2,2024-03-31
9,2,4,30,1,2024-03-31
10,2,5,150,12,2024-03-31
11,5,1,500,50,2024-03-31
12,5,2,300,30,2024-03-31
13,5,3,250,25,2024-03-31
14,5,4,180,18,2024-03-31
15,5,5,600,60,2024-03-31
16,3,6,40,3,2024-03-31
17,3,7,55,4,2024-03-31
18,3,8,75,6,2024-03-31
19,3,9,35,2,2024-03-31
20,3,10,120,10,2024-03-31
21,4,6,30,2,2024-03-31
22,4,7,48,3,2024-03-31
23,4,8,66,5,2024-03-31
24,4,9,28,1,2024-03-31
25,4,10,110,9,2024-03-31
26,6,6,220,22,2024-03-31
27,6,7,260,26,2024-03-31
28,6,8,340,34,2024-03-31
29,6,9,150,15,2024-03-31
30,6,10,480,48,2024-03-31
