order_item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1,1,2,24.95,0.00
2,1,2,1,59.95,10.00
3,2,3,1,64.95,0.00
4,2,5,2,19.95,0.00
5,3,4,1,49.95,5.00
6,4,1,3,24.95,0.00
7,4,5,1,19.95,0.00
8,5,2,1,59.95,0.00
9,5,3,1,64.95,0.00
10,6,6,1,99.95,0.00
11,6,10,1,34.95,0.00
12,7,7,2,69.95,15.00
13,8,8,2,39.95,0.00
14,8,9,1,89.95,0.00
15,9,9,1,89.95,10.00
16,10,6,1,99.95,0.00
17,11,2,1,59.95,0.00
18,11,1,1,24.95,0.00
19,12,4,1,49.95,0.00
20,13,7,1,69.95,0.00
21,13,8,1,39.95,0.00
22,14,9,2,89.95,20.00
23,15,10,2,34.95,0.00
24,15,6,1,99.95,0.00
25,16,3,1,64.95,0.00
