order_id,customer_id,store_id,channel,order_date,order_status
1,1,2,store,2024-01-05,completed
2,2,1,store,2024-01-07,completed
3,3,5,ecommerce,2024-01-10,completed
4,4,5,mobile,2024-01-12,completed
5,1,5,ecommerce,2024-01-15,returned
6,5,3,store,2024-01-18,completed
7,6,4,store,2024-01-20,completed
8,7,6,ecommerce,2024-01-22,completed
9,8,6,mobile,2024-01-25,completed
10,5,6,ecommerce,2024-02-02,returned
11,2,5,mobile,2024-02-05,completed
12,3,2,store,2024-02-10,cancelled
13,6,3,store,2024-02-14,completed
14,7,6,ecommerce,2024-02-20,completed
15,8,4,store,2024-03-01,completed
16,1,5,ecommerce,2024-03-05,returned
